"check_date","time_of_check","currency_name","coin_gecko_url","currency_website","currency_categories","currency_price","market_cap","trading_volume","market_cap_rank","all_time_high","all_time_low","one_day_low","one_day_high","seven_day_low","seven_day_high"
"2022-02-21","18:49:05","Bitcoin","https://www.coingecko.com/en/coins/bitcoin","https://www.bitcoin.org","['Cryptocurrency']","$37,793.41","$716,796,506,340","$21,202,880,082","#1","$69,044.77","$67.81","$37,500.99","$39,468.24","$37,557.60","$44,574.32"
"2022-02-21","18:49:05","Ethereum","https://www.coingecko.com/en/coins/ethereum","https://www.ethereum.org/","['Smart Contract Platform']","$2,625.32","$314,217,059,893","$16,222,374,964","#2","$4,878.26","$0.432979","$2,593.58","$2,754.63","$2,599.04","$3,179.30"
"2022-02-21","18:49:05","Tether","https://www.coingecko.com/en/coins/tether","https://tether.to/","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Arbitrum Ecosystem', 'Fantom Ecosystem', 'Near Protocol Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'BNB Chain Ecosystem', 'USD Stablecoin', 'Stablecoins']","$1.00","$79,275,573,728","$44,304,986,960","#3","$1.32","$0.572521","$0.995785","$1.01","$0.999551","$1.01"
"2022-02-21","18:49:05","BNB","https://www.coingecko.com/en/coins/bnb","https://www.binance.com/","['Moonriver Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Centralized Exchange Token (CEX)', 'BNB Chain Ecosystem', 'Exchange-based Tokens', 'Smart Contract Platform']","$369.75","$62,063,374,889","$1,372,104,433","#4","$686.31","$0.039817697188","$367.36","$393.88","$368.02","$432.82"
"2022-02-21","18:49:05","USD Coin","https://www.coingecko.com/en/coins/usd-coin","https://www.circle.com/en/usdc","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Arbitrum Ecosystem', 'Fantom Ecosystem', 'Gnosis Chain Ecosystem', 'Near Protocol Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'BNB Chain Ecosystem', 'USD Stablecoin', 'Stablecoins']","$1.00","$52,618,583,268","$3,675,513,662","#5","$1.17","$0.891848","$0.995458","$1.01","$0.998076","$1.00"
"2022-02-21","18:49:05","XRP","https://www.coingecko.com/en/coins/xrp","https://ripple.com/currency/","['Cryptocurrency']","$0.754237","$36,173,355,687","$4,019,936,070","#6","$3.40","$0.002686206662","$0.753154","$0.801716","$0.763669","$0.852479"
"2022-02-21","18:49:05","Cardano","https://www.coingecko.com/en/coins/cardano","https://www.cardano.org/en/home/","['Cardano Ecosystem', 'Smart Contract Platform']","$0.914592","$29,383,788,916","$1,353,332,787","#7","$3.09","$0.019252746946","$0.909662","$0.985941","$0.913346","$1.11"
"2022-02-21","18:49:05","Solana","https://www.coingecko.com/en/coins/solana","https://solana.com/","['Solana Ecosystem', 'Smart Contract Platform']","$86.74","$27,810,950,260","$2,068,722,896","#8","$259.96","$0.500801","$86.86","$95.91","$86.43","$104.84"
"2022-02-21","18:49:05","Terra","https://www.coingecko.com/en/coins/terra-luna","https://terra.money","['Fantom Ecosystem', 'Terra Ecosystem', 'Cosmos Ecosystem', 'Decentralized Finance (DeFi)', 'Smart Contract Platform']","$52.17","$20,331,379,769","$1,267,212,165","#9","$103.34","$0.121798","$48.94","$53.56","$47.80","$57.69"
"2022-02-21","18:49:05","Avalanche","https://www.coingecko.com/en/coins/avalanche","https://www.avax.network/","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Avalanche Ecosystem', 'Smart Contract Platform']","$74.70","$18,317,428,808","$1,018,607,775","#10","$144.96","$2.80","$74.51","$82.56","$75.58","$98.25"
"2022-02-21","18:49:05","Binance USD","https://www.coingecko.com/en/coins/binance-usd","https://www.paxos.com/busd/","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Fantom Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'BNB Chain Ecosystem', 'USD Stablecoin', 'Stablecoins']","$0.998483","$18,078,026,262","$3,244,155,646","#11","$1.15","$0.901127","$0.982592","$1.02","$0.987939","$1.01"
"2022-02-21","18:49:05","Polkadot","https://www.coingecko.com/en/coins/polkadot","https://polkadot.network/","['Polkadot Ecosystem', 'Smart Contract Platform']","$16.50","$17,946,259,111","$763,085,005","#12","$54.98","$2.70","$16.45","$17.70","$16.53","$20.17"
