rarity_id,project,short_description,max_items,price,price_text,currency,sale_date,pre_sale_date,website,discord_link,twitter_id,listed_date
adrunner,AdRunner,Advertising themed NFTs,10000,0.09,"Presale: 0.09 ETH
Public Sale: TBA",ETH,2022-03-24T18:00:00.000Z,2022-03-23T18:00:00.000Z,https://adrunner.io/,https://discord.com/invite/adrunnernft,AdrunnerNft,2022-03-10T00:00:00.000Z
amnesiametaclub,Amnesia Meta Club,Ape themed NFT avatars,8888,"WL Presale - 0.06 Eth + Gas Fee , Public Sale - 0.08 Eth + Gas Fee","WL Presale - 0.06 ETH 
Public Sale - 0.08 ETH",ETH,2022-04-01T17:00:00.000Z,,www.amnesiametaclub.com,https://discord.gg/uKtEmEsGFx,amnesiametaclub?s=21,2022-03-11T00:00:00.000Z
arcaneavians,Arcane Avians,Bird themed NFTs with upcoming game,2468,0.055,"Presale: 0.045 ETH
Public Sale: 0.055 ETH",ETH,2022-03-21T19:00:00.000Z,,https://arcaneavians.com,https://discord.gg/arcaneavians,arcaneavians,2022-03-15T00:00:00.000Z
artmonkeesgen2,ArtMonkees GEN2,Monkey themed NFTs,5000,0.03,,SOL,2022-03-20T08:00:00.000Z,,https://www.artmonkees.io/,https://discord.gg/artmonkees,artmonkees,2022-03-16T00:00:00.000Z
atomicnuclear,AtomicNuclearNFT,Nuclear energy themed NFTs,10000,0.03 Eth / 0.05 ,,ETH,2022-03-19T20:00:00.000Z,,https://atomicnuclear.com/,https://discord.gg/akpWpSTZeS,ATNuclear_NFT,2022-03-11T00:00:00.000Z
ballygang,Bally Gang,3D NFT avatars,8888,0.2,,ETH,2022-03-18T04:00:00.000Z,,https://www.ballygangnft.io/,https://discord.gg/7kBeXAFyUy,ballygangnft,2022-03-16T00:00:00.000Z
baskervilleclub,Baskerville Club,Dog themed NFTs,3333,0.099,,ETH,2022-03-20T14:00:00.000Z,,baskerville-club.com,https://discord.gg/baskerville-club,Baskerville_NFT,2022-03-11T00:00:00.000Z
bnbcollege,BnB College NFT,College themed NFTs,10000,0.05 ETH (Presale) 0.08ETH (Public),"Presale: 0.05 ETH
Public Sale: 0.08 ETH",ETH,2022-03-21T13:00:00.000Z,,http://www.bnb-collegecom.com/,https://discord.gg/GYWQENJA5A,BnBCollege_NFT,2022-03-12T00:00:00.000Z
chftypizzas,CHFTY Pizzas,Pizza themed NFT avatars,2777,0.07,,ETH,2022-03-24T20:00:00.000Z,,https://www.chftypizzas.com/,https://discord.gg/SpAAmdVQTQ,CHFTYPizzas,2022-03-10T00:00:00.000Z
chummyfinclub,Chummy Fin Club,Sharks themed NFTs,10000,,"Presale: 0.8 ETH 
Sale: 0.1 ETH",ETH,2022-03-18T17:00:00.000Z,2022-03-16T17:00:00.000Z,https://chummyfinclub.com/,https://discord.gg/M59qXAZ8ru,finclubnft,2022-03-14T00:00:00.000Z
CosmosKidz,Cosmos Kidz,Cartoon Kid themed NFTs,9999,TBA,TBA,ETH,To be Announced,,https://cosmoskidznft.com,https://discord.com/invite/w4a4fCrHu5,CosmosKidzNFT,2022-01-20T00:00:00.000Z
cryptobulldogs,CryptoBulldogs,Bulldog themed NFTs,4444,"0.05 OG WL, 0.05 WL, 0.06 Public","Presale: 0.05 ETH
Public Sale: 0.06 ETH",ETH,2022-03-19T23:00:00.000Z,2022-03-18T23:00:00.000Z,cryptobulldogs.io,discord.gg/cryptobulldogs,cryptobulldogs,2022-03-13T00:00:00.000Z
cyberboyz3000,CYBERBOYZ 3000,3D futuristic NFT avatars,3000,FREE MINT,Free,ETH,2022-03-23T19:00:00.000Z,,https://cyberboyz3000.com/,https://discord.com/cyberboyz3000,cyberboyz3000,2022-03-15T00:00:00.000Z
dankducks,Dank Ducks,Duck themed NFTs,10000,0.025,,ETH,To be Announced,,https://dankducks.com/,https://discord.com/invite/dankducks,dankducksnft,2022-03-07T00:00:00.000Z
darklandcreatures,Darkland Creatures,Pixelated creature themed NFT avatars,333,0.06 (SOL),0.06 SOL,ETH,2022-03-19T17:00:00.000Z,,https://darklandcreatures.netlify.app,https://discord.gg/ZUCyVxygBc,Darkland_creat,2022-03-16T00:00:00.000Z
degendoggos,Degen Doggos,Dog themed NFT avatars,3666,0.022,,ETH,2022-03-22T20:00:00.000Z,,https://www.degendoggos.xyz/,https://discord.gg/yZzduzwJBB,DegenDoggos_NFT,2022-03-16T00:00:00.000Z
doodleslayer,Doodle Slayer,Doodle themed NFT avatars,5000,TBA,,ETH,2022-05-15T08:00:00.000Z,2022-04-17T17:23:00.000Z,https://www.doodleslayernft.com/,https://discord.gg/PR7r8WEd5K,doodleslayernft,2022-03-13T00:00:00.000Z
encryptedgods,Encrypted Gods,Pixelated NFT characters,9999,0.07,,ETH,2022-03-23T21:00:00.000Z,2022-03-22T21:00:00.000Z,https://encrypted-gods.io,https://discord.gg/encryptedgods,EncryptedGods_,2022-03-12T00:00:00.000Z
familytees,FamilyTeesNFT,Hand-drawn NFTs by graffiti artist Kaput,3333,0.05,"Presale: 0.04 ETH
Public Sale: 0.05 ETH",ETH,2022-03-25T18:00:00.000Z,,https://www.familyteesnft.com/,https://discord.gg/HEZWWhea3r,FamilyTeesNFT,2022-03-10T00:00:00.000Z
footheroesclub,Foot Heroes Club,Football themed NFTs,8888,0.1,"Presale: 0.0888 ETH
Public Sale: 0.1 ETH",ETH,2022-03-20T19:00:00.000Z,2022-03-19T19:07:00.000Z,https://www.footheroesclub.com,https://discord.gg/9Vr45DezYm,FootHeroesClub,2022-03-14T00:00:00.000Z
fullbellyclub,Full Belly Club,Food themed NFTs,10119,0.08,,ETH,2022-04-11T17:00:00.000Z,,https://fullbellyclub.com,discord.gg/fullbellyclub,fullbellyclub,2022-03-10T00:00:00.000Z
furybandits,Fury Bandits,NFT characters with upcoming game,8888,0.08,,ETH,To be Announced,,https://www.furybandits.com/,https://discord.gg/m9tDVzAXDS,FuryBandits,2022-03-05T00:00:00.000Z
giraffrica,Giraffrica, Pixelated giraffe themed NFTs,5000,0.07,,ETH,2022-03-20T19:00:00.000Z,,https://giraffrica.com/,https://discord.gg/HUpkMSa7EV,giraffrica1,2022-03-14T00:00:00.000Z
